书名,授权级别,作品类别,本周点击,本月点击,本周更新,本月更新,周推荐票,月推荐票,人次,字数,更新天数
我就是个的哥,驻站作品,都市异能,11,51,6437,44768,7,26,51,45682,1
九幽太牢,驻站作品,东方玄幻,7,23,9134,33077,0,0,23,33783,11
从特种兵开始融合万物,签约作品,军旅生涯,208,486,18369,116727,0,1,486,116727,12
三十而已,签约作品,都市重生,6,6,2096,2096,0,0,6,2096,1
加勒比海盗：我是章鱼哥,签约作品,东方玄幻,27,138,10148,75323,0,0,290,224695,24
守护之土,驻站作品,异界大陆,0,15,9361,78063,0,35,390,728612,3
全体起立，给股神敬礼!,签约作品,都市重生,35,281,14157,72923,18,98,458,148725,3
美女总裁倒追我,签约作品,都市异能,28,288,6259,75193,0,1,297,82012,29
捡个美女机器人,专属作品,都市激战,10,16,9995,15570,0,0,16,15570,1
龙婿当道,签约作品,都市生活,609,5799,24586,204156,313,2224,11966,560585,113
挥剑揽浮云,驻站作品,奇幻修真,1,17,8770,71001,0,0,17,71001,2
魔逆穹苍,驻站作品,东方玄幻,6,36,3118,20140,0,0,36,20141,19
我的身体有些特殊,驻站作品,宅系小说,2,17,21273,75914,0,0,618,75914,1
不小心捡了一个宇宙,签约作品,都市生活,121,4887,24308,215348,55,278,7120,416346,44
阴间至尊,驻站作品,东方玄幻,5,18,5375,23217,7,17,18,23217,2
妖孽神修,驻站作品,现代修真,8,8,7116,7116,0,0,8,7105,3
永生攻略,驻站作品,未来幻想,2,25,30759,266839,0,0,25,266839,26
文明的游戏一启示录,专属作品,未来幻想,23,23,10945,10945,0,0,23,10945,2
仙剑九狐,驻站作品,游戏异界,10,30,4618,14651,0,0,67,27698,5
与贱同行,驻站作品,虚拟网游,4,4,6275,6275,0,0,4,6275,1
先锋科技,签约作品,都市生活,21,148,18808,103526,0,17,332,433471,22
从我是特种兵开始崛起,签约作品,军旅生涯,1033,10378,10124,117266,67,393,40844,590934,91
兽血沸腾之天生肉盾,驻站作品,异世争霸,9,26,6285,16937,0,0,26,16937,8
残灵墟土,驻站作品,进化变异,6,6,6392,6392,0,0,6,6392,3
每日秒杀：我对钱不感兴趣,签约作品,都市生活,233,1624,12467,75612,0,0,2196,99597,11
论欺负女生的正确方式,签约作品,爆笑幽默,130,1258,17967,124892,13,31,4980,476896,89
七把刀传,签约作品,传统武侠,14,696,4084,21433,7,21,1699,285591,1
天传之起源篇,驻站作品,异界大陆,10,18,3066,3066,0,0,352,101245,1
狂蟒之灾,签约作品,异术超能,65,427,13744,155658,78,118,1520,651879,63
无题系列,驻站作品,都市生活,2,4,7718,7718,0,0,28,10405,1
学院兵王,驻站作品,校园风云,12,12,12917,12917,0,0,216,12917,3
溟下星辰,专属作品,异世争霸,2,15,2356,7294,0,0,59,13060,1
镇国战神,签约作品,都市生活,132,1993,4223,71036,0,0,2959,154337,1
我的故事之元素少年,驻站作品,都市异能,9,20,9553,9553,15,43,84,32164,3
达尔斧与剑,驻站作品,西方奇幻,11,11,14947,14947,0,0,6,14947,2
网游之最强领主,签约作品,游戏异界,16,110,9557,57781,1,1,110,58167,7
